,seller_id,seller_nickname,category_id,category,item_id,item_name,currency,price
0,224160443,MAF UTILIDADES,MLB5672,Acessórios para Veículos,MLB4296308798,Kit 10 Panos Microfibra Flanela 35*50cm Power Clean Cor Sortido,BRL,41.0
1,444816473,AUTO TR,MLB5672,Acessórios para Veículos,MLB3698110641,Mangueira Filtro Ar Tbi Honda Civic 2012 2013 2014 2015 1.8,BRL,82.5
2,1165626720,WEMG_,MLB5672,Acessórios para Veículos,MLB3494040092,Modulo Taramps Ts400x4 400w 2 Ohms Rca Ts 400x4 4 Canais 100w Amplificador 400rms T400 4 Canais Potencia Taramps Som Para Carro Moto Caminhonete Automotivo,BRL,186.66
3,1148569370,MEGAMOTO.COM,MLB5672,Acessórios para Veículos,MLB3721274157,Par Pneu Bros 150 Xre 190 90/90-19 + 110/90-17 Tr300 Vipal,BRL,575.0
4,1257560156,IMPORTSCESTARO,MLB5672,Acessórios para Veículos,MLB3533136913,Módulo Injeção Programável M250 P/ Motos Honda Mono Cilindro,BRL,1350.0
5,713571099,HENRIQUEBABYS,MLB5672,Acessórios para Veículos,MLB3332039175,Cadeira Para Automóvel 9 A 36kg Grafite E Preto Styll Baby,BRL,321.35
6,383200349,KAKAAUTOPECAS_IK,MLB5672,Acessórios para Veículos,MLB3699013243,Radiador Vw Gol G5/g6/g7 Com Ar,BRL,258.96
7,130090710,LOI BRASIL,MLB5672,Acessórios para Veículos,MLB3445388687,Modulo Taramps Tl 1500 390w 2 Ohms Rca E Entrada Fio Tl1500 2 Canais Estéreo 95 Watts Rms 2 Ohms E 1 Canal Sub 200 Watts Rms 4 Ohms Potencia Som Automotivo Amplificador Para Carro Moto Caminhonete,BRL,195.51
8,183982918,IDEAL KITS,MLB5672,Acessórios para Veículos,MLB1381132707,Botão Interruptor Vidro Elétrico Sandero Duster Logan Duplo,BRL,56.0
9,194195623,LOJA ANROSS,MLB5672,Acessórios para Veículos,MLB3375319741,Chave Seta Ecosport Fiesta Ka 2003 2004 2005 2006 2007 2008,BRL,189.9
10,690485804,TORRES.AUTO,MLB5672,Acessórios para Veículos,MLB3304491383,Par Amortecedor Porta Malas Ford Fiesta Hatch 2003 04 À 2014,BRL,56.99
11,235608158,MBAFILTROS,MLB5672,Acessórios para Veículos,MLB4147955524,Chave De Roda Modelo L Universal 19mm Sem Espátula Andorinha,BRL,26.92
12,106458867,DINIZ JUNTAS,MLB5672,Acessórios para Veículos,MLB1320549929,Fio Veda Roscas Loctite 55 Rolo 160mt,BRL,78.99
13,655577127,FAXINA VIRTUAL,MLB5672,Acessórios para Veículos,MLB3470380273,Receptor Transmissor Fm Veicular Mp3 Bluetooth 2usb 1tipoc Cor Preto,BRL,39.09
14,638925391,JANGUITO.NET,MLB5672,Acessórios para Veículos,MLB3322171505,Tampão Traseiro Bagagito Hb20 2ª Geração 2020 2021 2022 2023,BRL,113.39
15,1576607684,DISTRIBUIDORALB20231203101613,MLB5672,Acessórios para Veículos,MLB4570118242,Lanterna Fiorino 2014 2015 2016 2017 2018 2019 2020 2021,BRL,156.6
16,1148569370,MEGAMOTO.COM,MLB5672,Acessórios para Veículos,MLB4725237348,Pneu Traseiro 140/70-17 Para Moto Maggion Sem Câmara,BRL,299.0
17,363529690,POTENCIA.MIX,MLB5672,Acessórios para Veículos,MLB1242496249,Bola Manopla De Cambio Renault Logan Sandero 2008 2009 2010 2011 2012 2013 2014 2015 2016 2017 2018 2019 Stepway Megane,BRL,27.96
18,446687381,LOJAORTEGAVIRTUAL,MLB5672,Acessórios para Veículos,MLB1319232699,Bobina Ignição 06a905097 Gol G5 1.0 2010 2011 2012 2013 Nova,BRL,328.0
19,258217777,RADIADORES CONFIANÇA,MLB5672,Acessórios para Veículos,MLB2604452226,Radiador Gol 1.0 G2 G3 G4 Com Ar Motores Mi\ Power\ At,BRL,256.43
20,526974434,JGL ELETRÔNICOS,MLB5672,Acessórios para Veículos,MLB5066493306,Bluetooth Receiver Hy Imports Car Usb Adaptador Automotivo Carro Radio,BRL,14.71
21,1015474523,BTJ DISTRIBUIDORA,MLB5672,Acessórios para Veículos,MLB4538199522,Graxa De Lítio Azul Para Rolamentos Multiuso - Pote 1kg,BRL,38.18
22,81777660,XANDY SUSPENSÕES,MLB5672,Acessórios para Veículos,MLB3811520392,Barra Estabilizadora Traseira Ix35 2010 Até 2016 Reforçada !,BRL,149.0
23,668320788,KAUTO,MLB5672,Acessórios para Veículos,MLB3449658705,Aditivo Radiador Rosa T5 Radnaq 5 Litros Concentrado Galão,BRL,25.65
24,68657233,BESSER AMORTECEDORES,MLB5672,Acessórios para Veículos,MLB2074235796,Par Amortecedor Tampa Traseira Hyundai Hb20 2012 A 2020,BRL,58.45
25,1077476156,HANGARPNEUS,MLB5672,Acessórios para Veículos,MLB4626752664,Pneu Moto Traseiro 90/80-14 Kenda 43p K677 Thorax Tl,BRL,198.0
26,553682874,NEWTEC BRASIL,MLB5672,Acessórios para Veículos,MLB3774651523,Abro Copper Gasket Spray 255g Junta Líquida De Cobre Selante,BRL,95.99
27,427044873,ALETA ONLINE,MLB5672,Acessórios para Veículos,MLB3485025179,Tipo De Alto-falante Triaxial Bravox B3x60 Cor Preto X 2 Unidades ,BRL,104.7
28,424745478,RADARVENDAS ONLINE,MLB5672,Acessórios para Veículos,MLB3069143806,Antena De Teto Universal Shark Tubarão Preta Esportivo Am/fm,BRL,27.08
29,1087712289,SPARE PARTSAUTOMOTIVE,MLB5672,Acessórios para Veículos,MLB2735548557,Par Kits De Rolamento Roda Traseira Gol G1 G2 G3 G4 G5 ,BRL,59.85
30,77862772,FERNANDOSOMJAU2009,MLB5672,Acessórios para Veículos,MLB4355603598,Triangulo Segurança Automotivo Sinalizador Estrada,BRL,15.9
31,821909660,SHOPPING CHAVES,MLB5672,Acessórios para Veículos,MLB3128295801,Capa Chave Canivete Onix Prisma Cobalt Cruze 2013 2014 2015,BRL,38.76
32,209685342,EVOX_PACK,MLB5672,Acessórios para Veículos,MLB4996201546,Calibrador Compressor Pneu Digital Carro Bike Moto Sem Fio,BRL,115.92
33,289097433,IDEAL COOLER,MLB5672,Acessórios para Veículos,MLB2820041966,Radiador Celta 2006 2007 2008 2009 2010 2011 2012 2013 2014,BRL,257.02
34,1148569370,MEGAMOTO.COM,MLB5672,Acessórios para Veículos,MLB4679244718,Pneu Moto Vipal Traseiro 90/90-18 St300 Fan Titan Ybr,BRL,199.0
35,561824330,MAGAZINE TOOLS,MLB5672,Acessórios para Veículos,MLB2162425813,Bypass Prolongador Da Sonda Lambda Universal Extensor Top,BRL,16.48
36,1126159554,VIDEOSOM AT,MLB5672,Acessórios para Veículos,MLB3379141193,Autoalarme Automotivo Positron Cyber Exact Ex360 Universal,BRL,241.99
37,709426934,EIBEXIMPORTS,MLB5672,Acessórios para Veículos,MLB2621232140,Manopla Bola Cambio Marcha Onix 2017 2018 2019 2020 Preta ,BRL,36.41
38,1108715207,ECAT MAGAZINE,MLB5672,Acessórios para Veículos,MLB3551772445,Água Desmineralizada Alta Pureza Fertibom 20 Litros,BRL,55.97
39,68657233,BESSER AMORTECEDORES,MLB5672,Acessórios para Veículos,MLB2023025576,Par Amortecedor A Gás Porta Malas Ford Ka 2018 2019 2020,BRL,53.2
40,275032644,VWKOLINAPREMIER,MLB5672,Acessórios para Veículos,MLB4209547476,Bomba Alta Pressao Amarok Original Vw 03l130755ab - Amarok,BRL,2895.27
41,670951102,RADICALSOM.COM.BR,MLB5672,Acessórios para Veículos,MLB3584514627,Controle Remoto Universal Longa Distância Jfa K1200 Preto,BRL,58.13
42,782649820,KOVAK PNEUS,MLB5672,Acessórios para Veículos,MLB5014432036,Pneu Traseiro Aro 18 Titan Fan Cg Start 125 150 160 90/90-18,BRL,119.9
43,257778542,AUTOCAR EXPRESS,MLB5672,Acessórios para Veículos,MLB4572567808,Kit Ignição Eletrônica Sensor Hall Bobina Vw Fusca Kombi,BRL,279.9
44,62269391,MGMSTORE_,MLB5672,Acessórios para Veículos,MLB3839710489,Câmera Ré Automotiva 8 Leds Hd Infravermelho Visão Noturna,BRL,33.03
45,444879053,ZEFRIZINHOAUTOPECAS,MLB5672,Acessórios para Veículos,MLB4293586804,Encolhedor Molas Universal Automotiva Espiral Profissional,BRL,148.04
46,1570033946,ECOMSOR,MLB5672,Acessórios para Veículos,MLB5003376844,11pçs Polimento 3 Polegadas Furadeira / Parafusadeira,BRL,30.87
47,378393420,FASTCAR BRASIL.,MLB5672,Acessórios para Veículos,MLB3330823508,Abro Copper Gasket Spray 255 G - Formador De Juntas Cobre,BRL,96.35
48,337656002,VMFERRAMENTAS,MLB271599,Agro,MLB4986235654,"Furadeira E Parafusadeira 13mm Sem Fio Dewalt, Modelo Dcd7781d2 Furadeira De Impacto Com Maleta De Ferramentas 2 Baterias 1 Carregador Bivolt",BRL,1203.91
49,575520586,GRUPOSANTOLUXO,MLB271599,Agro,MLB5040041726,Bomba Submersa Linss Tipo Narja Vibratória 900 Turbo 220v Sapo,BRL,263.11
50,440775073,INTER LEVELBR,MLB271599,Agro,MLB4396014592,Lavadora De Alta Pressão 1300 Libras Lav1300 220v - Vonder Cor Amarelo Frequência 60 Hz,BRL,327.6
51,28493382,RCTAVARES_199,MLB271599,Agro,MLB3862657651,Termo-higrômetro Digital Relógio Umidade Temperatura Ar ,BRL,22.38
52,166385557,JET SETTER,MLB271599,Agro,MLB1950980464,Boveda 62% - 8g Kit C/3un Umidificador Ervas E Fumos,BRL,39.5
53,83799991,DUTRA_MAQUINAS,MLB271599,Agro,MLB3248368853,Lavadora De Alta Pressão Kärcher Uso Intensivo Hd 585 Prof S Cinza E Preta De 2.2kw Com 2176psi De Pressão Máxima 220v - 60hz,BRL,2549.9
54,353481463,GRAND COMMERCE,MLB271599,Agro,MLB4764122082,Furadeira Reversível 450w 2800rpm 3/8 -10mm 110v Fsd-450 Dwt,BRL,173.22
55,720423190,DKCENTERLAR,MLB271599,Agro,MLB3542920647,Válvula Para Caixa Dágua Duchão Blukit Com Dupla Retenção 5 M.c.a,BRL,119.0
56,1458393882,YURIHOMEGARDEN,MLB271599,Agro,MLB4771774852,Fertilizante Mineral Enxofre 300g Rende 100lts Dimy,BRL,29.91
57,1074382560,DESCONTO MAGAZINE,MLB271599,Agro,MLB4481505816,Lavadora De Alta Pressão Kärcher Compacta 1500psi 1400w Cor Amarelo 110v,BRL,359.91
58,305306292,TERRACOMERCIODEABRASIVOSE,MLB271599,Agro,MLB3668603793,Tesoura Aviação Corte Reto Para Chapa Funileiro Calheiro Hutz,BRL,35.81
59,440775073,INTER LEVELBR,MLB271599,Agro,MLB4625902404,Parafusadeira E Furadeira A Bateria 12v Bivolt Pfv120 Vonder Com 1 Bateria,BRL,188.98
60,234629020,PANDA FERRAMENTAS,MLB271599,Agro,MLB3384450349,"Bomba Submersa Caneta Palito 1/4hp 2,5  Intech Machine Bsca2 Voltagem 220v",BRL,420.85
